GT,Score
Síndrome de Down,P1
Anomalías del tubo neural,P5
Fisura labiopalatina,P5
Tumor de las glándulas endocrinas,P0
Paladar hendido,P5
Agenesia renal unilateral,P1
Neumonía causada por infección por pseudomonas aeruginosa,P1
"Síndrome 47,XYY",P5
Iniencefalia,P0
Lupus eritematoso cutáneo raro,P0
Ausencia congénita bilateral de los conductos deferentes,P1
Cáncer de ovario,P1
Síndrome de Sjögren primario,P1
Leucemia linfocítica crónica de células B,P1
Hidrocefalia congénita,P5
Enterocolitis necrotizante,P1
Preeclampsia,P1
Síndrome de Asherman,P1
Displasia renal,P0
Linfoma difuso de células B grandes,P0
Trisomía X,P5
Esclerodermia,P1
Hidrops fetal no inmunológico,P5
Carcinoma de células renales,P1
Neuropatía periférica genética,P1
Cardiogenic shock,P1
"Hipoacusia neurosensorial a causa de trauma acústico grave o sordera repentina, o por trauma acústico inducido por cirugía",P5
Amiloidosis AL,P1
Hepatitis delta,P5
Síndrome de citomegalovirus fetal,P5
Síndrome de Romano-Ward,P0
Enfermedad renal poliquística autosómica dominante,P1
Estenosis valvular pulmonar congénita,P0
Uveítis,P1
Hipotiroidismo congénito,P1
Daño cerebral traumático de moderado a grave,P0
Síndrome de deleción 22q11.2,P1
Hipotiroidismo primario congénito,P1
Linfoma folicular,P0
Fiebre hemorrágica con síndrome renal,P0
Carcinoma no papilar de células transicionales de la vejiga,P0
Displasia de grado alto en pacientes con esófago de Barrett,P0
Coartación ístmica,P0
Prurito urémico,P1
Proctitis por radiación,P1
Osteocondritis disecante,P0
Anencefalia/exencefalia aislada,P1
Esofagitis eosinofílica,P5
Tetralogía de Fallot,P1
Neurofibromatosis tipo,P1
Hipotiroidismo congénito permanente,P5
Toxoplasmosis congénita,P1
Insuficiencia placentaria,P0
Síndrome de X frágil,P1
Síndrome de X frágil,P1
Daño de la médula espinal,P1
Sepsis en neonatos prematuros,P1
Queratoconjuntivitis primaveral,P1
Transposición de las grandes arterias,P5
Retinosis pigmentaria,P1
Policitemia vera,P1
Miocardiopatía periparto,P1
Sarcoma de partes blandas,P0
Hipersomnia idiopática,P1
Amiloidosis sistémica primaria,P1
Hernia diafragmática congénita,P5
Canal aurículoventricular parcial,P0
Tetralogía de Fallot,P1
Esofagitis eosinofílica,P1
Deficiencia combinada no adquirida de hormonas hipofisarias,P0
Oclusión de la vena central de la retina,P1
Dermatitis herpetiforme,P1
Retinosis pigmentaria,P1
Enfermedad linfoproliferativa posttrasplante,P1
Tumor glial,P1
Enfermedad por citomegalovirus (CMV) en pacientes de riesgo por inmunidad celular alterada,P0
Hemiagenesia tiroidea,P0
Sindactilia tipo 1,P5
Penfigoide ampolloso,P1
Alopecia universal,P1
Trombocitopenia inmune,P1
Narcolepsia tipo 1,P1
Colangitis biliar primaria,P1
Enfermedad de Charcot-MarieTooth/Neuropatía sensitivo-motora hereditaria,P1
Síndrome de cáncer de mama y ovario hereditario,P1
Glaucoma neovascular,P5
Craneosinostosis,P1
Atresia de esófago,P5
Transposición no corregida congénitamente de las grandes arterias,P5
Malformación anorrectal no sindrómica,P5
Linfoma cutáneo primario de células T,P5
Hepatitis autoinmune,P5
Riñón displásico multiquístico,P1
Riñón displásico multiquístico unilateral,P5
Cicatrización tras cirugía de filtración de glaucoma,P0
Infecciones pulmonares fúngicas en pacientes considerados en riesgo,P0
Pouchitis,P1
Hipotiroidismo congénito por anomalía del desarrollo,P1
Neurofibromatosis tipo 1,P1
Hernia diafragmática congénita,P1
Colangitis biliar primaria,P1
Deleción parcial del cromosoma Y,P0
Artritis idiopática juvenil,P1
Artritis idiopática juvenil oligoarticular,P1
Hipospadias posteriores,P1
Síndrome de X frágil,P1
Síndrome de desgaste asociado al SIDA,P1
Insuficiencia hepática aguda,P0
Sarcoidosis,P1
Síndrome de dificultad respiratoria aguda del lactante,P0
Atrofia muscular espinal proximal,P1
Tumor tenosinovial de células gigantes,P0
Deficiencia de alfa-1 antitripsina,P1
Miastenia grave,P1
Síndrome de Marfan,P1
Malformación anorrectal no sindrómica,P5
Deficiencia congénita de sacarasaisomaltasa,P5
Síndrome de microdeleción proximal 16p11.2 ,P0
Miocardiopatía arritmogénica del ventrículo derecho,P1
Deficiencia de células madre limbares,P0
Deleción parcial del cromosoma Y,P5
