GT,Score
Down syndrome,P1
Neural tube defect,P5
Cleft lip/palate,P1
Tumor of endocrine glands,P5
Cleft palate,P5
"Renal agenesis, unilateral",P0
Pneumonia caused by Pseudomonas aeruginosa infection,P0
"47,XYY syndrome",P1
Iniencephaly ,P0
Rare cutaneous lupus erythematosus,P5
Congenital bilateral absence of vas deferens,P0
Ovarian cancer,P1
Primary Sjögren syndrome,P1
B-cell chronic lymphocytic leukemia,P1
Congenital hydrocephalus,P5
Necrotizing enterocolitis,P0
Preeclampsia,P1
Asherman syndrome,P1
Renal dysplasia,P1
Diffuse large B-cell lymphoma,P5
Trisomy X,P0
Scleroderma,P1
Non-immune hydrops fetalis,P0
Renal cell carcinoma,P1
Genetic peripheral neuropathy,P5
Cardiogenic shock,P0
Acute sensorineural hearing loss by acute acoustic trauma or sudden deafness or surgery induced acoustic trauma,P5
AL amyloidosis,P1
Hepatitis delta,P0
Fetal cytomegalovirus syndrome,P5
Romano-Ward syndrome,P1
Autosomal dominant polycystic kidney disease,P1
Congenital pulmonary valvar stenosis,P1
Uveitis,P5
Congenital hypothyroidism,P1
Moderate and severe traumatic brain injury,P5
22q11.2 deletion syndrome,P1
Primary congenital hypothyroidism,P1
Follicular lymphoma,P5
Hemorrhagic fever-renal syndrome,P5
Non-papillary transitional cell carcinoma of the bladder,P5
High-grade dysplasia in patients with Barrett esophagus,P5
Aorta coarctation,P1
Uremic pruritus,P5
Radiation proctitis,P1
Osteochondritis dissecans,P1
Isolated anencephaly/exencephaly,P0
Eosinophilic esophagitis,P1
Tetralogy of Fallot,P1
Neurofibromatosis type 1,P1
