GT,Score
Down syndrome,P1
Neural tube defect,P1
Cleft lip/palate,P1
Tumor of endocrine glands,P5
Cleft palate,P1
"Renal agenesis, unilateral",P5
Pneumonia caused by Pseudomonas aeruginosa infection,P0
"47,XYY syndrome",P0
Iniencephaly ,P1
Rare cutaneous lupus erythematosus,P1
Congenital bilateral absence of vas deferens,P0
Ovarian cancer,P4
Primary Sjögren syndrome,P1
B-cell chronic lymphocytic leukemia,P5
Congenital hydrocephalus,P1
Necrotizing enterocolitis,P0
Preeclampsia,P1
Asherman syndrome,P0
Renal dysplasia,P5
Diffuse large B-cell lymphoma,P1
Trisomy X,P0
Scleroderma,P1
Non-immune hydrops fetalis,P1
Renal cell carcinoma,P1
Genetic peripheral neuropathy,P5
Cardiogenic shock,P1
Acute sensorineural hearing loss by acute acoustic trauma or sudden deafness or surgery induced acoustic trauma,P0
AL amyloidosis,P5
Hepatitis delta,P1
Fetal cytomegalovirus syndrome,P1
Romano-Ward syndrome,P5
Autosomal dominant polycystic kidney disease,P0
Congenital pulmonary valvar stenosis,P5
Uveitis,P1
Congenital hypothyroidism,P1
Moderate and severe traumatic brain injury,P1
22q11.2 deletion syndrome,P0
Primary congenital hypothyroidism,P1
Follicular lymphoma,P1
Hemorrhagic fever-renal syndrome,P1
Non-papillary transitional cell carcinoma of the bladder,P1
High-grade dysplasia in patients with Barrett esophagus,P5
Aorta coarctation,P1
Uremic pruritus,P0
Radiation proctitis,P0
Osteochondritis dissecans,P0
Isolated anencephaly/exencephaly,P1
Eosinophilic esophagitis,P1
Tetralogy of Fallot,P1
Neurofibromatosis type 1,P1
Permanent congenital hypothyroidism,P5
Congenital toxoplasmosis,P1
Placental insufficiency,P1
Fragile X syndrome,P1
Spinal cord injury,P1
Sepsis in premature infants,P1
Vernal keratoconjunctivitis,P1
Transposition of the great arteries,P0
Retinitis pigmentosa,P1
Polycythemia vera,P0
Peripartum cardiomyopathy,P1
Soft tissue sarcoma,P1
Idiopathic hypersomnia,P1
Primary systemic amyloidosis,P1
Congenital diaphragmatic hernia,P1
Partial atrioventricular septal defect,P0
Non-acquired combined pituitary hormone deficiency,P0
Central retinal vein occlusion,P1
Dermatitis herpetiformis,P1
Post-transplant lymphoproliferative disease,P5
Glial tumor,P1
Cytomegalovirus disease in patients with impaired cell mediated immunity deemed at risk,P5
Thyroid hemiagenesis,P0
Syndactyly type 1,P1
Bullous pemphigoid,P1
Alopecia universalis,P1
Immune thrombocytopenia,P1
Narcolepsy type 1,P1
Primary biliary cholangitis,P0
Charcot-Marie-Tooth disease/Hereditary motor and sensory neuropathy,P5
Hereditary breast and ovarian cancer syndrome,P1
Neovascular glaucoma,P1
Craniosynostosis,P1
Esophageal atresia,P5
Congenitally uncorrected transposition of the great arteries,P2
Non-syndromic anorectal malformation,P5
Primary cutaneous T-cell lymphoma,P5
Autoimmune hepatitis,P1
Multicystic dysplastic kidney,P5
Unilateral multicystic dysplastic kidney,P0
Scarring in glaucoma filtration surgical procedures,P2
Pulmonary fungal infections in patients deemed at risk,P5
Pouchitis,P1
Congenital hypothyroidism due to developmental anomaly,P5
Partial chromosome Y deletion,P1
Juvenile idiopathic arthritis,P1
Oligoarticular juvenile idiopathic arthritis,P1
Non-syndromic posterior hypospadias,P1
AIDS wasting syndrome,P5
Acute liver failure,P1
Sarcoidosis,P1
Infant acute respiratory distress syndrome,P1
Proximal spinal muscular atrophy,P0
Tenosynovial giant cell tumor,P0
Alpha-1-antitrypsin deficiency,P1
Myasthenia gravis,P1
Marfan syndrome,P1
Congenital sucrase-isomaltase deficiency,P0
Proximal 16p11.2 microdeletion syndrome,P0
Arrhythmogenic right ventricular cardiomyopathy,P1
Limbal stem cell deficiency,P1
Vulvar intraepithelial neoplasia,P1
Complete atrioventricular septal defect,P5
Brugada syndrome,P0
Cystic fibrosis,P1
Isolated spina bifida,P1
Isolated biliary atresia,P1
Anal fistula,P5
Adenovirus infection in immunocompromised patients,P0
Non-infectious posterior uveitis,P0
Pemphigus vulgaris,P1
Hypoplastic left heart syndrome,P1
Charcot-Marie-Tooth disease type 1,P1
Familial isolated dilated cardiomyopathy,P5
Gastroschisis,P0
Trisomy 18,P2
Recessive X-linked ichthyosis,P1
Acute peripheral arterial occlusion,P1
Hereditary hemorrhagic telangiectasia,P1
Primary membranoproliferative glomerulonephritis,P0
Buerger disease,P1
Tuberculosis,P0
Herpes simplex virus stromal keratitis,P0
Microtia,P1
Rare carcinoma of pancreas,P1
Systemic sclerosis,P1
Hepatocellular carcinoma,P0
Mucopolysaccharidosis type 4A,P1
Young-onset Parkinson disease,P1
Lennox-Gastaut syndrome,P1
Familial cerebral cavernous malformation,P5
Atopic keratoconjunctivitis,P0
Dentinogenesis imperfecta type 2,P1
Dentinogenesis imperfecta,P3
Thyroid ectopia,P0
Progressive supranuclear palsy,P1
Idiopathic intracranial hypertension,P1
Cystinuria,P0
Chronic primary adrenal insufficiency,P1
Holoprosencephaly,P1
Supravalvular aortic stenosis,P1
Hirschsprung disease,P1
Stargardt disease,P1
Bronchopulmonary dysplasia,P0
Pleural empyema,P0
Gastrointestinal stromal tumor,P1
Mucolipidosis type III alpha/beta,P0
Thyroid carcinoma,P0
Triploidy,P0
Von Willebrand disease,P1
Addison disease,P1
Hypermobile Ehlers-Danlos syndrome,P1
Steinert myotonic dystrophy,P1
Rare lymphatic malformation,P5
Stickler syndrome,P1
CD4+/CD56+ hematodermic neoplasm,P1
Small cell lung cancer,P1
Medium chain acyl-CoA dehydrogenase deficiency,P5
Huntington disease,P1
Multiple myeloma,P1
Omphalocele,P1
"Focal, segmental or multifocal dystonia",P1
Idiopathic pulmonary fibrosis,P5
Systemic mastocytosis,P0
Hemophilia A,P1
Neuroblastoma,P0
Acute lymphoblastic leukemia,P5
Mayer-Rokitansky-Küster-Hauser syndrome,P1
Williams syndrome,P1
Alopecia totalis,P0
Mastocytosis,P3
Partial deep dermal and full thickness burns,P0
Acquired aneurysmal subarachnoid hemorrhage,P1
Rett syndrome,P3
Phenylketonuria,P1
Nephroblastoma,P1
Familial or sporadic hemiplegic migraine,P5
Acute myeloid leukemia,P1
Aicardi-Goutières syndrome,P0
Congenital adrenal hyperplasia,P1
Dysbetalipoproteinemia,P0
Catecholaminergic polymorphic ventricular tachycardia,P0
Septo-optic dysplasia spectrum,P0
Dermatofibrosarcoma protuberans,P0
Duane retraction syndrome,P0
Sickle cell anemia,P1
Polymalformative genetic syndrome with increased risk of developing cancer,P5
