GT,Score
Down syndrome,P1
Neural tube defect,P5
Cleft lip/palate,P1
Tumor of endocrine glands,P5
Cleft palate,P5
"Renal agenesis, unilateral",P1
Pneumonia caused by Pseudomonas aeruginosa infection,P1
"47,XYY syndrome",P0
Iniencephaly ,P0
Rare cutaneous lupus erythematosus,P5
Congenital bilateral absence of vas deferens,P1
Ovarian cancer,P1
Primary Sjögren syndrome,P1
B-cell chronic lymphocytic leukemia,P1
Congenital hydrocephalus,P4
Necrotizing enterocolitis,P1
Preeclampsia,P1
Asherman syndrome,P1
Renal dysplasia,P5
Diffuse large B-cell lymphoma,P5
Trisomy X,P0
Scleroderma,P1
Non-immune hydrops fetalis,P0
Renal cell carcinoma,P3
Genetic peripheral neuropathy,P5
Cardiogenic shock,P0
Acute sensorineural hearing loss by acute acoustic trauma or sudden deafness or surgery induced acoustic trauma,P5
AL amyloidosis,P5
Hepatitis delta,P0
Fetal cytomegalovirus syndrome,P1
Romano-Ward syndrome,P1
Autosomal dominant polycystic kidney disease,P1
Congenital pulmonary valvar stenosis,P5
Uveitis,P1
Congenital hypothyroidism,P1
Moderate and severe traumatic brain injury,P5
22q11.2 deletion syndrome,P1
Primary congenital hypothyroidism,P5
Follicular lymphoma,P5
Hemorrhagic fever-renal syndrome,P5
Non-papillary transitional cell carcinoma of the bladder,P5
High-grade dysplasia in patients with Barrett esophagus,P5
Aorta coarctation,P1
Uremic pruritus,P1
Radiation proctitis,P3
Osteochondritis dissecans,P0
Isolated anencephaly/exencephaly,P5
Eosinophilic esophagitis,P1
Tetralogy of Fallot,P1
Neurofibromatosis type 1,P1
Permanent congenital hypothyroidism,P5
Congenital toxoplasmosis,P1
Placental insufficiency,P1
Fragile X syndrome,P1
Spinal cord injury,P1
Sepsis in premature infants,P1
Vernal keratoconjunctivitis,P1
Transposition of the great arteries,P1
Retinitis pigmentosa,P1
Polycythemia vera,P1
Peripartum cardiomyopathy,P1
Soft tissue sarcoma,P1
Idiopathic hypersomnia,P1
Primary systemic amyloidosis,P1
Congenital diaphragmatic hernia,P1
Partial atrioventricular septal defect,P0
Non-acquired combined pituitary hormone deficiency,P5
Central retinal vein occlusion,P1
Dermatitis herpetiformis,P1
Post-transplant lymphoproliferative disease,P1
Glial tumor,P1
Cytomegalovirus disease in patients with impaired cell mediated immunity deemed at risk,P1
Thyroid hemiagenesis,P0
Syndactyly type 1,P1
Bullous pemphigoid,P1
Alopecia universalis,P5
Immune thrombocytopenia,P1
Narcolepsy type 1,P1
Primary biliary cholangitis,P1
Charcot-Marie-Tooth disease/Hereditary motor and sensory neuropathy,P1
Hereditary breast and ovarian cancer syndrome,P1
Neovascular glaucoma,P0
Craniosynostosis,P1
Esophageal atresia,P1
Congenitally uncorrected transposition of the great arteries,P5
Non-syndromic anorectal malformation,P1
Primary cutaneous T-cell lymphoma,P5
Autoimmune hepatitis,P1
Multicystic dysplastic kidney,P1
Unilateral multicystic dysplastic kidney,P5
Scarring in glaucoma filtration surgical procedures,P5
Pulmonary fungal infections in patients deemed at risk,P0
Pouchitis,P1
Congenital hypothyroidism due to developmental anomaly,P1
Partial chromosome Y deletion,P0
Juvenile idiopathic arthritis,P1
Oligoarticular juvenile idiopathic arthritis,P1
Non-syndromic posterior hypospadias,P1
AIDS wasting syndrome,P1
Acute liver failure,P5
Sarcoidosis,P1
Infant acute respiratory distress syndrome,P5
Proximal spinal muscular atrophy,P5
Tenosynovial giant cell tumor,P5
Alpha-1-antitrypsin deficiency,P1
Myasthenia gravis,P1
Marfan syndrome,P1
Congenital sucrase-isomaltase deficiency,P1
