GT,Score
Down syndrome,P1
Neural tube defect,P0
Cleft lip/palate,P1
Tumor of endocrine glands,P5
Cleft palate,P1
"Renal agenesis, unilateral",P5
Pneumonia caused by Pseudomonas aeruginosa infection,P1
"47,XYY syndrome",P0
Iniencephaly ,P0
Rare cutaneous lupus erythematosus,P5
Congenital bilateral absence of vas deferens,P5
Ovarian cancer,P0
Primary Sjögren syndrome,P1
B-cell chronic lymphocytic leukemia,P5
Congenital hydrocephalus,P1
Necrotizing enterocolitis,P1
Preeclampsia,P1
Asherman syndrome,P4
Renal dysplasia,P0
Diffuse large B-cell lymphoma,P5
Trisomy X,P0
Scleroderma,P5
Non-immune hydrops fetalis,P0
Renal cell carcinoma,P0
Genetic peripheral neuropathy,P1
Cardiogenic shock,P5
Acute sensorineural hearing loss by acute acoustic trauma or sudden deafness or surgery induced acoustic trauma,P5
AL amyloidosis,P0
Hepatitis delta,P0
Fetal cytomegalovirus syndrome,P3
Romano-Ward syndrome,P1
Autosomal dominant polycystic kidney disease,P5
Congenital pulmonary valvar stenosis,P1
Uveitis,P1
Congenital hypothyroidism,P1
Moderate and severe traumatic brain injury,P1
22q11.2 deletion syndrome,P0
Primary congenital hypothyroidism,P0
Follicular lymphoma,P5
Hemorrhagic fever-renal syndrome,P0
Non-papillary transitional cell carcinoma of the bladder,P0
High-grade dysplasia in patients with Barrett esophagus,P5
Aorta coarctation,P0
Uremic pruritus,P1
Radiation proctitis,P3
Osteochondritis dissecans,P0
Isolated anencephaly/exencephaly,P5
Eosinophilic esophagitis,P1
Tetralogy of Fallot,P1
Neurofibromatosis type 1,P1
Permanent congenital hypothyroidism,P1
Congenital toxoplasmosis,P1
Placental insufficiency,P0
Fragile X syndrome,P1
Spinal cord injury,P1
Sepsis in premature infants,P5
Vernal keratoconjunctivitis,P5
Transposition of the great arteries,P0
Retinitis pigmentosa,P1
Polycythemia vera,P1
Peripartum cardiomyopathy,P5
Soft tissue sarcoma,P0
Idiopathic hypersomnia,P5
Primary systemic amyloidosis,P0
Congenital diaphragmatic hernia,P0
Partial atrioventricular septal defect,P0
Non-acquired combined pituitary hormone deficiency,P5
Central retinal vein occlusion,P1
Dermatitis herpetiformis,P0
Post-transplant lymphoproliferative disease,P2
Glial tumor,P5
Cytomegalovirus disease in patients with impaired cell mediated immunity deemed at risk,P0
Thyroid hemiagenesis,P0
Syndactyly type 1,P0
Bullous pemphigoid,P0
Alopecia universalis,P5
Immune thrombocytopenia,P1
Narcolepsy type 1,P1
Primary biliary cholangitis,P0
Charcot-Marie-Tooth disease/Hereditary motor and sensory neuropathy,P1
Hereditary breast and ovarian cancer syndrome,P1
Neovascular glaucoma,P1
Craniosynostosis,P1
Esophageal atresia,P0
Congenitally uncorrected transposition of the great arteries,P0
Non-syndromic anorectal malformation,P5
Primary cutaneous T-cell lymphoma,P5
Autoimmune hepatitis,P1
Multicystic dysplastic kidney,P0
Unilateral multicystic dysplastic kidney,P0
Scarring in glaucoma filtration surgical procedures,P0
Pulmonary fungal infections in patients deemed at risk,P0
Pouchitis,P0
Congenital hypothyroidism due to developmental anomaly,P5
Partial chromosome Y deletion,P0
Juvenile idiopathic arthritis,P1
Oligoarticular juvenile idiopathic arthritis,P0
Non-syndromic posterior hypospadias,P1
AIDS wasting syndrome,P5
Acute liver failure,P5
Sarcoidosis,P1
Infant acute respiratory distress syndrome,P0
Proximal spinal muscular atrophy,P5
Tenosynovial giant cell tumor,P0
Alpha-1-antitrypsin deficiency,P0
Myasthenia gravis,P1
Marfan syndrome,P1
Congenital sucrase-isomaltase deficiency,P0
Proximal 16p11.2 microdeletion syndrome,P0
Arrhythmogenic right ventricular cardiomyopathy,P0
Limbal stem cell deficiency,P0
Vulvar intraepithelial neoplasia,P0
Complete atrioventricular septal defect,P0
Brugada syndrome,P0
Cystic fibrosis,P1
Isolated spina bifida,P0
Isolated biliary atresia,P5
Anal fistula,P0
Adenovirus infection in immunocompromised patients,P0
Non-infectious posterior uveitis,P1
Pemphigus vulgaris,P5
Hypoplastic left heart syndrome,P1
Charcot-Marie-Tooth disease type 1,P2
Familial isolated dilated cardiomyopathy,P0
Gastroschisis,P0
Trisomy 18,P0
Recessive X-linked ichthyosis,P5
Acute peripheral arterial occlusion,P1
Hereditary hemorrhagic telangiectasia,P1
Primary membranoproliferative glomerulonephritis,P1
Buerger disease,P0
Tuberculosis,P1
Herpes simplex virus stromal keratitis,P5
Microtia,P5
Rare carcinoma of pancreas,P1
Systemic sclerosis,P1
Hepatocellular carcinoma,P5
Mucopolysaccharidosis type 4A,P0
Young-onset Parkinson disease,P1
Lennox-Gastaut syndrome,P1
Familial cerebral cavernous malformation,P5
Atopic keratoconjunctivitis,P5
Dentinogenesis imperfecta type 2,P0
Dentinogenesis imperfecta,P0
Thyroid ectopia,P0
Progressive supranuclear palsy,P3
Idiopathic intracranial hypertension,P0
Cystinuria,P0
Chronic primary adrenal insufficiency,P5
Holoprosencephaly,P0
Supravalvular aortic stenosis,P5
Hirschsprung disease,P1
Stargardt disease,P0
Bronchopulmonary dysplasia,P0
Pleural empyema,P0
Gastrointestinal stromal tumor,P0
Mucolipidosis type III alpha/beta,P0
Thyroid carcinoma,P5
Triploidy,P0
Von Willebrand disease,P1
Addison disease,P5
Hypermobile Ehlers-Danlos syndrome,P1
Steinert myotonic dystrophy,P0
Rare lymphatic malformation,P0
Stickler syndrome,P5
CD4+/CD56+ hematodermic neoplasm,P0
Small cell lung cancer,P5
Medium chain acyl-CoA dehydrogenase deficiency,P0
Huntington disease,P1
Multiple myeloma,P0
Omphalocele,P5
"Focal, segmental or multifocal dystonia",P1
Idiopathic pulmonary fibrosis,P5
Systemic mastocytosis,P0
Hemophilia A,P1
Neuroblastoma,P0
Acute lymphoblastic leukemia,P1
Mayer-Rokitansky-Küster-Hauser syndrome,P0
Williams syndrome,P5
Alopecia totalis,P5
Mastocytosis,P0
Partial deep dermal and full thickness burns,P0
Acquired aneurysmal subarachnoid hemorrhage,P5
Rett syndrome,P1
Phenylketonuria,P1
Nephroblastoma,P0
Familial or sporadic hemiplegic migraine,P1
Acute myeloid leukemia,P5
Aicardi-Goutières syndrome,P0
Congenital adrenal hyperplasia,P1
Dysbetalipoproteinemia,P0
Catecholaminergic polymorphic ventricular tachycardia,P0
Septo-optic dysplasia spectrum,P5
Dermatofibrosarcoma protuberans,P0
Duane retraction syndrome,P5
Sickle cell anemia,P0
Polymalformative genetic syndrome with increased risk of developing cancer,P5
Aplasia cutis congenita,P0
Duchenne muscular dystrophy,P1
Dravet syndrome,P1
