GT,Score
Down syndrome,P1
Neural tube defect,P1
Cleft lip/palate,P1
Tumor of endocrine glands,P0
Cleft palate,P5
"Renal agenesis, unilateral",P1
Pneumonia caused by Pseudomonas aeruginosa infection,P1
"47,XYY syndrome",P0
Iniencephaly ,P0
Rare cutaneous lupus erythematosus,P5
Congenital bilateral absence of vas deferens,P5
Ovarian cancer,P1
Primary Sjögren syndrome,P1
B-cell chronic lymphocytic leukemia,P5
Congenital hydrocephalus,P1
Necrotizing enterocolitis,P1
Preeclampsia,P1
Asherman syndrome,P1
Renal dysplasia,P0
Diffuse large B-cell lymphoma,P1
Trisomy X,P0
Scleroderma,P1
Non-immune hydrops fetalis,P0
Renal cell carcinoma,P5
Genetic peripheral neuropathy,P5
Cardiogenic shock,P1
Acute sensorineural hearing loss by acute acoustic trauma or sudden deafness or surgery induced acoustic trauma,P5
AL amyloidosis,P0
Hepatitis delta,P5
Fetal cytomegalovirus syndrome,P1
Romano-Ward syndrome,P1
Autosomal dominant polycystic kidney disease,P1
Congenital pulmonary valvar stenosis,P5
Uveitis,P1
Congenital hypothyroidism,P1
Moderate and severe traumatic brain injury,P5
22q11.2 deletion syndrome,P5
Primary congenital hypothyroidism,P1
Follicular lymphoma,P5
Hemorrhagic fever-renal syndrome,P5
Non-papillary transitional cell carcinoma of the bladder,P0
High-grade dysplasia in patients with Barrett esophagus,P5
Aorta coarctation,P1
Uremic pruritus,P1
Radiation proctitis,P1
Osteochondritis dissecans,P5
Isolated anencephaly/exencephaly,P1
Eosinophilic esophagitis,P1
Tetralogy of Fallot,P1
Neurofibromatosis type 1,P1
Permanent congenital hypothyroidism,P1
Congenital toxoplasmosis,P5
Placental insufficiency,P1
Fragile X syndrome,P1
Spinal cord injury,P1
Sepsis in premature infants,P0
Vernal keratoconjunctivitis,P5
Transposition of the great arteries,P5
Retinitis pigmentosa,P1
Polycythemia vera,P1
Peripartum cardiomyopathy,P1
Soft tissue sarcoma,P1
Idiopathic hypersomnia,P1
Primary systemic amyloidosis,P0
Congenital diaphragmatic hernia,P1
Partial atrioventricular septal defect,P0
Non-acquired combined pituitary hormone deficiency,P5
Central retinal vein occlusion,P5
Dermatitis herpetiformis,P1
Post-transplant lymphoproliferative disease,P1
Glial tumor,P5
Cytomegalovirus disease in patients with impaired cell mediated immunity deemed at risk,P2
Thyroid hemiagenesis,P0
Syndactyly type 1,P5
Bullous pemphigoid,P1
Alopecia universalis,P5
Immune thrombocytopenia,P1
Narcolepsy type 1,P1
Primary biliary cholangitis,P1
Charcot-Marie-Tooth disease/Hereditary motor and sensory neuropathy,P1
Hereditary breast and ovarian cancer syndrome,P1
Neovascular glaucoma,P0
Craniosynostosis,P1
Esophageal atresia,P0
Congenitally uncorrected transposition of the great arteries,P5
Non-syndromic anorectal malformation,P1
Primary cutaneous T-cell lymphoma,P5
Autoimmune hepatitis,P1
Multicystic dysplastic kidney,P2
Unilateral multicystic dysplastic kidney,P2
Scarring in glaucoma filtration surgical procedures,P0
Pulmonary fungal infections in patients deemed at risk,P5
Pouchitis,P0
Congenital hypothyroidism due to developmental anomaly,P1
Partial chromosome Y deletion,P0
Juvenile idiopathic arthritis,P1
Oligoarticular juvenile idiopathic arthritis,P1
Non-syndromic posterior hypospadias,P1
AIDS wasting syndrome,P5
Acute liver failure,P5
Sarcoidosis,P1
Infant acute respiratory distress syndrome,P1
Proximal spinal muscular atrophy,P5
Tenosynovial giant cell tumor,P0
Alpha-1-antitrypsin deficiency,P1
Myasthenia gravis,P1
Marfan syndrome,P1
Congenital sucrase-isomaltase deficiency,P1
Proximal 16p11.2 microdeletion syndrome,P0
Arrhythmogenic right ventricular cardiomyopathy,P1
Limbal stem cell deficiency,P5
Vulvar intraepithelial neoplasia,P1
Complete atrioventricular septal defect,P5
Brugada syndrome,P1
Cystic fibrosis,P1
Isolated spina bifida,P1
Isolated biliary atresia,P1
Anal fistula,P1
Adenovirus infection in immunocompromised patients,P0
Non-infectious posterior uveitis,P1
Pemphigus vulgaris,P1
Hypoplastic left heart syndrome,P5
Charcot-Marie-Tooth disease type 1,P1
Familial isolated dilated cardiomyopathy,P5
Gastroschisis,P1
Trisomy 18,P0
Recessive X-linked ichthyosis,P5
Acute peripheral arterial occlusion,P5
Hereditary hemorrhagic telangiectasia,P1
Primary membranoproliferative glomerulonephritis,P0
Buerger disease,P1
Tuberculosis,P1
Herpes simplex virus stromal keratitis,P5
Microtia,P1
Rare carcinoma of pancreas,P1
Systemic sclerosis,P1
Hepatocellular carcinoma,P5
Mucopolysaccharidosis type 4A,P5
Young-onset Parkinson disease,P5
Lennox-Gastaut syndrome,P1
Familial cerebral cavernous malformation,P0
Atopic keratoconjunctivitis,P5
Dentinogenesis imperfecta type 2,P5
Dentinogenesis imperfecta,P1
Thyroid ectopia,P1
Progressive supranuclear palsy,P1
Idiopathic intracranial hypertension,P4
Cystinuria,P1
Chronic primary adrenal insufficiency,P1
Holoprosencephaly,P0
Supravalvular aortic stenosis,P1
Hirschsprung disease,P1
Stargardt disease,P1
Bronchopulmonary dysplasia,P1
Pleural empyema,P1
Gastrointestinal stromal tumor,P0
Mucolipidosis type III alpha/beta,P5
Thyroid carcinoma,P1
Triploidy,P0
Von Willebrand disease,P1
Addison disease,P1
Hypermobile Ehlers-Danlos syndrome,P1
Steinert myotonic dystrophy,P5
Rare lymphatic malformation,P5
Stickler syndrome,P1
CD4+/CD56+ hematodermic neoplasm,P0
Small cell lung cancer,P1
Medium chain acyl-CoA dehydrogenase deficiency,P0
Huntington disease,P1
Multiple myeloma,P1
Omphalocele,P1
"Focal, segmental or multifocal dystonia",P5
Idiopathic pulmonary fibrosis,P5
Systemic mastocytosis,P1
Hemophilia A,P1
Neuroblastoma,P1
Acute lymphoblastic leukemia,P5
Mayer-Rokitansky-Küster-Hauser syndrome,P1
Williams syndrome,P1
Alopecia totalis,P1
Mastocytosis,P5
Partial deep dermal and full thickness burns,P5
Acquired aneurysmal subarachnoid hemorrhage,P1
Rett syndrome,P1
Phenylketonuria,P1
Nephroblastoma,P1
Familial or sporadic hemiplegic migraine,P1
Acute myeloid leukemia,P0
Aicardi-Goutières syndrome,P1
Congenital adrenal hyperplasia,P1
Dysbetalipoproteinemia,P0
Catecholaminergic polymorphic ventricular tachycardia,P3
Septo-optic dysplasia spectrum,P1
Dermatofibrosarcoma protuberans,P0
Duane retraction syndrome,P1
Sickle cell anemia,P5
Polymalformative genetic syndrome with increased risk of developing cancer,P5
